R	S_avg	S_std	S_avg_smooth	S_sum
1.022450000000000045e+02	7.400000000000000000e+01	3.398038649966575520e+01	7.180686274509798750e+01	4.440000000000000000e+02
1.053799999999999955e+02	7.166666666666667140e+01	3.472591091517814732e+01	7.178963585434169659e+01	4.300000000000000000e+02
1.085130000000000052e+02	7.033333333333332860e+01	3.194613522095522029e+01	7.178641456582629132e+01	4.220000000000000000e+02
1.116479999999999961e+02	7.133333333333332860e+01	3.515047020390418453e+01	7.179719887955178592e+01	4.280000000000000000e+02
1.147800000000000011e+02	6.833333333333332860e+01	3.335499296290669946e+01	7.182198879551818038e+01	4.100000000000000000e+02
1.179110000000000014e+02	7.333333333333332860e+01	3.676350847723263371e+01	7.186078431372546049e+01	4.400000000000000000e+02
1.210409999999999968e+02	7.000000000000000000e+01	3.773592452822641263e+01	7.191358543417364046e+01	4.200000000000000000e+02
1.241689999999999969e+02	7.400000000000000000e+01	3.519469657017469899e+01	7.198039215686311820e+01	4.440000000000000000e+02
1.272969999999999970e+02	7.300000000000000000e+01	3.645545226711637099e+01	7.220150829562632566e+01	4.380000000000000000e+02
1.304230000000000018e+02	7.666666666666667140e+01	4.090096440047457804e+01	7.222262443438953028e+01	4.600000000000000000e+02
1.335469999999999970e+02	7.066666666666667140e+01	3.086889840744060010e+01	7.252006033182543376e+01	4.240000000000000000e+02
1.366709999999999923e+02	7.300000000000000000e+01	3.903417306241630769e+01	7.235987933635030345e+01	4.380000000000000000e+02
1.397949999999999875e+02	6.766666666666667140e+01	3.062497165531567944e+01	7.246968325791893051e+01	4.060000000000000000e+02
1.429170000000000016e+02	7.500000000000000000e+01	3.787259343289462521e+01	7.361538461538501110e+01	4.500000000000000000e+02
1.460380000000000109e+02	7.266666666666667140e+01	3.699849846803095232e+01	7.451734539969874049e+01	4.360000000000000000e+02
1.491589999999999918e+02	7.533333333333332860e+01	4.034297405441937912e+01	7.566998491704413254e+01	4.520000000000000000e+02
1.522760000000000105e+02	7.833333333333332860e+01	4.025612444778502663e+01	7.717918552036239532e+01	4.700000000000000000e+02
1.553940000000000055e+02	7.633333333333332860e+01	3.516469188768125065e+01	7.925972850678775217e+01	4.580000000000000000e+02
1.585109999999999957e+02	8.533333333333332860e+01	3.104119127152750934e+01	8.046968325791898735e+01	5.120000000000000000e+02
1.616250000000000000e+02	8.400000000000000000e+01	3.374413529291670244e+01	8.158250377073949267e+01	5.040000000000000000e+02
1.647400000000000091e+02	8.133333333333332860e+01	3.025814858109391281e+01	8.199034690799439318e+01	4.880000000000000000e+02
1.678540000000000134e+02	8.166666666666667140e+01	3.863360655641090347e+01	8.377737556561130816e+01	4.900000000000000000e+02
1.709650000000000034e+02	8.500000000000000000e+01	3.961060464067671916e+01	8.386033182503815908e+01	5.100000000000000000e+02
1.740769999999999982e+02	8.266666666666667140e+01	3.556527644893103712e+01	8.435897435897481955e+01	4.960000000000000000e+02
1.771860000000000070e+02	8.200000000000000000e+01	3.843609414773219868e+01	8.481297134238356250e+01	4.920000000000000000e+02
1.802949999999999875e+02	8.500000000000000000e+01	3.680126809409335209e+01	8.486153846153891323e+01	5.100000000000000000e+02
1.834019999999999868e+02	8.866666666666667140e+01	4.173993557999607162e+01	8.544494720965354873e+01	5.320000000000000000e+02
1.865080000000000098e+02	8.966666666666667140e+01	4.065163656675528614e+01	8.567239819004569767e+01	5.380000000000000000e+02
1.896150000000000091e+02	7.900000000000000000e+01	3.336165463522455354e+01	8.528084464555098521e+01	4.740000000000000000e+02
1.927179999999999893e+02	8.933333333333332860e+01	3.940671121635106289e+01	8.532549019607888852e+01	5.360000000000000000e+02
1.958230000000000075e+02	8.500000000000000000e+01	3.678314831549904085e+01	8.542322775263995993e+01	5.100000000000000000e+02
1.989240000000000066e+02	8.500000000000000000e+01	3.692785759649030553e+01	8.422202111613921716e+01	5.100000000000000000e+02
2.020250000000000057e+02	8.233333333333332860e+01	3.769025809881852496e+01	8.280180995475157602e+01	4.940000000000000000e+02
2.051239999999999952e+02	8.266666666666667140e+01	3.093362068832048450e+01	8.115686274509846498e+01	4.960000000000000000e+02
2.082249999999999943e+02	8.466666666666667140e+01	3.654525352977532293e+01	8.181628959276061153e+01	5.080000000000000000e+02
